layer1,dropout1,reg1,epochs,accuracy,f1,time
64,0.2,0.0,10,0.805658567774936,0.8382392768673206,3:31
64,0.2,0.0,20,0.8294757033248081,0.854168269367735,3:34
64,0.2,0.0,40,0.8453964194373402,0.8629430611270233,3:41
64,0.2,0.0,60,0.841719948849105,0.8583237793298301,3:50
64,0.2,0.0001,10,0.7987851662404092,0.8367439819018139,3:52
64,0.2,0.0001,20,0.8284846547314577,0.8551862663624021,3:55
64,0.2,0.0001,40,0.8278772378516623,0.8529609016807931,4:1
64,0.2,0.0001,60,0.8303388746803069,0.8535254129469927,4:11
64,0.2,0.001,10,0.7589514066496164,0.8083136890557956,4:13
64,0.2,0.001,20,0.7816496163682864,0.8227294584871515,4:16
64,0.2,0.001,40,0.7972826086956522,0.8338975546770633,4:23
64,0.2,0.001,60,0.807608695652174,0.8402048674061144,4:33
64,0.4,0.0,10,0.7360933503836318,0.7913820054609074,4:34
64,0.4,0.0,20,0.7646419437340153,0.8104310799785324,4:38
64,0.4,0.0,40,0.7843350383631713,0.8221312748179511,4:44
64,0.4,0.0,60,0.793893861892583,0.828852106380933,4:54
64,0.4,0.0001,10,0.7124360613810742,0.7752645842706046,4:56
64,0.4,0.0001,20,0.7486572890025576,0.8031426300548231,4:59
64,0.4,0.0001,40,0.7779731457800512,0.8210101678199273,5:6
64,0.4,0.0001,60,0.7746803069053708,0.8192216840525763,5:17
64,0.4,0.001,10,0.6557225063938619,0.7341294424200442,5:18
64,0.4,0.001,20,0.7036445012787724,0.7705434093702477,5:22
64,0.4,0.001,40,0.7213235294117648,0.7836537890749764,5:29
64,0.4,0.001,60,0.7359015345268543,0.793735275385758,5:39
128,0.2,0.0,10,0.8824168797953964,0.8933537154749489,5:42
128,0.2,0.0,20,0.8968030690537084,0.901903750190397,5:47
128,0.2,0.0,40,0.9043158567774936,0.9072030325558053,5:56
128,0.2,0.0,60,0.9035805626598465,0.9054953006605164,6:11
128,0.2,0.0001,10,0.8720588235294118,0.8878057911851218,6:14
128,0.2,0.0001,20,0.8864769820971867,0.8962536583602965,6:19
128,0.2,0.0001,40,0.8946611253196931,0.9024007016740457,6:29
128,0.2,0.0001,60,0.8970907928388747,0.9025531484048799,6:45
128,0.2,0.001,10,0.8387148337595909,0.8665661223566792,6:47
128,0.2,0.001,20,0.8582480818414322,0.8780300358668875,6:53
128,0.2,0.001,40,0.8696611253196931,0.8859978233218526,7:3
128,0.2,0.001,60,0.870812020460358,0.8861851342615092,7:19
128,0.4,0.0,10,0.8502877237851663,0.871880152350405,7:22
128,0.4,0.0,20,0.8710997442455243,0.8859820331730576,7:27
128,0.4,0.0,40,0.8827365728900256,0.8922329010753571,7:37
128,0.4,0.0,60,0.8910166240409207,0.8973508989591082,7:53
128,0.4,0.0001,10,0.8439258312020461,0.8690002344614032,7:56
128,0.4,0.0001,20,0.8624360613810742,0.8802061136724412,8:1
128,0.4,0.0001,40,0.8699488491048593,0.8855812570839918,8:12
128,0.4,0.0001,60,0.876918158567775,0.889767876665757,8:28
128,0.4,0.001,10,0.7849744245524297,0.8283103743729019,8:30
128,0.4,0.001,20,0.8135869565217392,0.850194213879579,8:36
128,0.4,0.001,40,0.8214194373401535,0.8546417175042096,8:47
128,0.4,0.001,60,0.8314897698209718,0.860764290599387,9:3
256,0.2,0.0,10,0.9146419437340153,0.9181836950351525,9:7
256,0.2,0.0,20,0.9261189258312021,0.9273494950956004,9:14
256,0.2,0.0,40,0.9304987212276215,0.9309793863593778,9:29
256,0.2,0.0,60,0.9314897698209719,0.9316579315049385,9:51
256,0.2,0.0001,10,0.9007033248081842,0.9081129767291383,9:55
256,0.2,0.0001,20,0.9157289002557545,0.9200105635800444,10:3
256,0.2,0.0001,40,0.9237212276214833,0.9258124304059937,10:18
256,0.2,0.0001,60,0.9212276214833759,0.9232802458211126,10:41
256,0.2,0.001,10,0.8712915601023018,0.8889947068522255,10:45
256,0.2,0.001,20,0.8823529411764706,0.894972853217898,10:53
256,0.2,0.001,40,0.8865409207161126,0.8970264587264285,11:9
256,0.2,0.001,60,0.8931265984654732,0.9016997614831243,11:31
256,0.4,0.0,10,0.9048273657289002,0.9122572123440149,11:35
256,0.4,0.0,20,0.9186061381074169,0.9216822072655616,11:42
256,0.4,0.0,40,0.9225383631713555,0.9239271099729532,11:57
256,0.4,0.0,60,0.9246483375959079,0.9256247097624211,12:19
256,0.4,0.0001,10,0.8928708439897698,0.9036421354495354,12:23
256,0.4,0.0001,20,0.9032928388746804,0.9118911052849454,12:30
256,0.4,0.0001,40,0.9142902813299233,0.9195484407634515,12:45
256,0.4,0.0001,60,0.9150895140664962,0.9193514433682486,13:8
256,0.4,0.001,10,0.8439258312020461,0.8715482817565423,13:12
256,0.4,0.001,20,0.8631393861892583,0.8828818261724747,13:20
256,0.4,0.001,40,0.8659846547314578,0.8848744650387328,13:35
256,0.4,0.001,60,0.870460358056266,0.8867900557565749,13:58
512,0.2,0.0,10,0.9311061381074168,0.9320783478568454,14:4
512,0.2,0.0,20,0.9366687979539642,0.9370430947736637,14:16
512,0.2,0.0,40,0.9414641943734016,0.9415106040824062,14:40
512,0.2,0.0,60,0.9428388746803069,0.9428556877999459,15:15
512,0.2,0.0001,10,0.9187979539641944,0.9235424056866752,15:21
512,0.2,0.0001,20,0.9267583120204603,0.9290481746439299,15:33
512,0.2,0.0001,40,0.9286125319693095,0.9298945897965647,15:56
512,0.2,0.0001,60,0.9320332480818414,0.9332694373929473,16:29
512,0.2,0.001,10,0.8784846547314578,0.8932756619171901,16:35
512,0.2,0.001,20,0.8907608695652174,0.9015890384477463,16:46
512,0.2,0.001,40,0.9005754475703325,0.9087277303152613,17:8
512,0.2,0.001,60,0.897730179028133,0.9050376459865326,17:41
512,0.4,0.0,10,0.9248401534526853,0.9274420303698325,17:46
512,0.4,0.0,20,0.9343989769820972,0.9352444692044419,17:57
512,0.4,0.0,40,0.9409846547314578,0.9412513558425367,18:18
512,0.4,0.0,60,0.9426790281329923,0.9427450171339458,18:50
512,0.4,0.0001,10,0.9119565217391304,0.9185220420097888,18:55
512,0.4,0.0001,20,0.9244245524296675,0.9281033601596196,19:6
512,0.4,0.0001,40,0.9269820971867008,0.9297936800890336,19:28
512,0.4,0.0001,60,0.9311700767263427,0.9330194943525266,20:0
512,0.4,0.001,10,0.8638427109974425,0.8837218045861921,20:5
512,0.4,0.001,20,0.8748401534526854,0.892112888163693,20:16
512,0.4,0.001,40,0.878772378516624,0.8930326274831055,20:38
512,0.4,0.001,60,0.8834079283887468,0.895985828668818,21:9
1024,0.2,0.0,40,0.9433503836317135,0.9433013778117938,22:18
1024,0.2,0.0,60,0.9468670076726342,0.9469672139960568,23:7
1024,0.2,0.0001,40,0.9291240409207161,0.9304331969097812,23:44
1024,0.2,0.0001,60,0.9330562659846547,0.9340376595169472,0:41
512,0.2,batch,40,0.9422953964194374,0.9429576843860172,1:18
512,0.2,batch,60,0.9457161125319693,0.9460754173463224,1:48
512,0.2,batch,100,0.9491687979539642,0.949460989667759,2:38
1024,0.2,batch,40,0.9453324808184143,0.9456656999626597,3:14
1024,0.2,batch,60,0.9498081841432225,0.9500316353755217,4:8
1024,0.2,batch,100,0.9513746803069054,0.9514994152664799,5:38
2048,0.2,batch,60,0.95,0.9501368142514457,20:52
2048,0.2,batch,100,0.9551790281329924,0.9552294551755385,23:28
